order_id,date,hour,member_id,restaurant_id,total_order
200,1/2/20,20:00.0,28,22,124.97
201,1/2/20,27:00.0,40,20,144.95
202,1/2/20,30:00.0,128,9,104.31
203,1/2/20,32:00.0,2,22,0
204,1/2/20,38:00.0,174,29,46.64
205,1/2/20,39:00.0,199,8,128.5
206,1/2/20,49:00.0,137,17,66.93
207,1/2/20,50:00.0,173,2,132.47
208,1/2/20,51:00.0,52,7,0
209,1/2/20,54:00.0,188,3,0
210,1/2/20,55:00.0,53,13,128.42
211,1/2/20,00:00.0,145,21,34.29
212,1/2/20,01:00.0,42,1,32.08
213,1/2/20,01:00.0,72,19,32.07
214,1/2/20,05:00.0,45,6,23.41
215,1/2/20,06:00.0,114,13,0
216,1/2/20,06:00.0,32,16,163.81
217,1/2/20,13:00.0,185,28,40.98
218,1/2/20,14:00.0,200,24,66.41
219,1/2/20,16:00.0,105,28,24.43
220,1/2/20,16:00.0,22,25,128.86
221,1/2/20,17:00.0,85,13,140.49
222,1/2/20,17:00.0,147,4,39.06
223,1/2/20,19:00.0,100,21,64.13
224,1/2/20,19:00.0,170,10,68.68
225,1/2/20,21:00.0,167,19,38.96
226,1/2/20,24:00.0,101,23,116.67
227,1/2/20,27:00.0,166,1,0
228,1/2/20,29:00.0,128,30,124.22
229,1/2/20,30:00.0,13,5,40.59
230,1/2/20,37:00.0,142,5,138.33
231,1/2/20,44:00.0,114,27,46.8
232,1/2/20,47:00.0,65,21,54.01
233,1/2/20,53:00.0,51,15,36.7
234,1/2/20,53:00.0,102,10,94.13
235,1/2/20,54:00.0,186,26,196.34
236,1/2/20,55:00.0,148,1,0
237,1/2/20,56:00.0,122,22,0
238,1/2/20,58:00.0,80,16,234.11
239,1/2/20,59:00.0,17,20,133.17
240,1/2/20,01:00.0,107,20,82.53
241,1/2/20,02:00.0,131,26,85.08
242,1/2/20,06:00.0,90,14,0
243,1/2/20,07:00.0,61,11,130.11
244,1/2/20,09:00.0,29,2,34.4
245,1/2/20,12:00.0,124,9,50.01
246,1/2/20,16:00.0,121,10,111.08
247,1/2/20,17:00.0,101,28,33.92
248,1/2/20,23:00.0,167,21,125.77
249,1/2/20,23:00.0,179,18,141.9
250,1/2/20,27:00.0,81,15,151.48
251,1/2/20,29:00.0,18,1,200.26
252,1/2/20,32:00.0,70,13,88.77
253,1/2/20,34:00.0,195,16,23.77
254,1/2/20,36:00.0,2,20,160.74
255,1/2/20,38:00.0,12,1,101.5
256,1/2/20,38:00.0,122,14,110.92
257,1/2/20,39:00.0,65,19,33.84
258,1/2/20,44:00.0,193,7,0
259,1/2/20,47:00.0,8,9,34.9
260,1/2/20,51:00.0,74,23,80.02
261,1/2/20,52:00.0,149,6,39.17
262,1/2/20,59:00.0,32,30,105.05
263,1/2/20,59:00.0,101,14,94.35
264,1/2/20,59:00.0,115,18,128.32
265,1/2/20,12:00.0,3,12,0
266,1/2/20,12:00.0,29,22,76.33
267,1/2/20,16:00.0,71,30,24.19
268,1/2/20,27:00.0,102,16,142.99
269,1/2/20,32:00.0,31,5,118.08
270,1/2/20,33:00.0,27,10,144.74
271,1/2/20,39:00.0,85,19,35.25
272,1/2/20,44:00.0,171,2,109.95
273,1/2/20,48:00.0,24,10,181.77
274,1/2/20,06:00.0,58,27,71.14
275,1/2/20,29:00.0,162,12,0
276,1/2/20,39:00.0,86,7,234.98
277,1/2/20,41:00.0,92,5,0
278,1/2/20,45:00.0,162,14,132.49
279,1/2/20,51:00.0,8,18,155.78
280,1/2/20,57:00.0,102,22,45.06
281,1/2/20,58:00.0,92,9,0
282,1/2/20,06:00.0,154,22,79.91
283,1/2/20,17:00.0,59,21,34.29
284,1/2/20,19:00.0,200,5,104.95
285,1/2/20,28:00.0,97,14,144.23
286,1/2/20,46:00.0,114,26,75.87
287,1/2/20,52:00.0,174,19,90.45
288,1/2/20,27:00.0,162,20,290.7
289,1/2/20,31:00.0,149,20,119.2
290,1/2/20,34:00.0,89,21,54.01
291,1/2/20,08:00.0,156,19,72.8
292,1/2/20,09:00.0,85,26,31.69
293,1/2/20,17:00.0,111,7,132.09
294,1/2/20,19:00.0,116,19,63.24
295,1/2/20,33:00.0,19,10,110.43
296,1/2/20,50:00.0,118,1,37.34
297,1/2/20,01:00.0,76,24,44.1
298,1/2/20,05:00.0,67,22,44.22
299,1/2/20,09:00.0,137,4,0
300,1/2/20,10:00.0,169,2,195.04
301,1/2/20,13:00.0,16,26,171.62
302,1/2/20,14:00.0,164,1,0
303,1/2/20,15:00.0,175,13,33.5
304,1/2/20,16:00.0,59,21,130.57
305,1/2/20,23:00.0,100,29,172.95
306,1/2/20,23:00.0,111,25,65.77
307,1/2/20,34:00.0,1,10,0
308,1/2/20,35:00.0,133,28,111.44
309,1/2/20,36:00.0,68,15,24.35
310,1/2/20,39:00.0,149,17,69.28
311,1/2/20,42:00.0,71,7,62.05
312,1/2/20,47:00.0,4,19,38.96
313,1/2/20,51:00.0,114,30,89.06
314,1/2/20,52:00.0,115,8,0
315,1/2/20,53:00.0,133,16,81.54
316,1/2/20,54:00.0,52,6,50.3
317,1/2/20,04:00.0,23,3,54.77
318,1/2/20,06:00.0,34,11,116.9
319,1/2/20,08:00.0,121,24,135.06
320,1/2/20,08:00.0,171,27,219.9
321,1/2/20,16:00.0,120,15,86.65
322,1/2/20,16:00.0,164,23,132.1
323,1/2/20,20:00.0,29,1,89.48
324,1/2/20,20:00.0,156,19,31.92
325,1/2/20,21:00.0,38,2,66.87
326,1/2/20,21:00.0,191,23,146.07
327,1/2/20,23:00.0,34,12,26.23
328,1/2/20,29:00.0,141,23,246.76
329,1/2/20,31:00.0,39,20,52.75
330,1/2/20,31:00.0,99,19,102.8
331,1/2/20,31:00.0,145,16,39.23
332,1/2/20,42:00.0,131,24,152.51
333,1/2/20,42:00.0,90,13,0
334,1/2/20,50:00.0,28,14,27.42
335,1/2/20,53:00.0,41,28,93.7
336,1/2/20,57:00.0,160,7,0
337,1/2/20,00:00.0,33,18,0
338,1/2/20,00:00.0,65,11,66.7
339,1/2/20,02:00.0,21,19,22.77
340,1/2/20,05:00.0,35,16,115.35
341,1/2/20,05:00.0,33,1,141.06
342,1/2/20,06:00.0,14,24,102.37
343,1/2/20,08:00.0,62,3,34.89
344,1/2/20,09:00.0,117,10,35.61
345,1/2/20,09:00.0,44,14,0
346,1/2/20,11:00.0,165,26,41
347,1/2/20,13:00.0,184,2,24.67
348,1/2/20,14:00.0,69,5,40.47
349,1/2/20,15:00.0,135,7,34.95
350,1/2/20,17:00.0,41,14,66.87
351,1/2/20,17:00.0,46,5,203.99
352,1/2/20,18:00.0,132,26,164.63
353,1/2/20,20:00.0,118,24,110.51
354,1/2/20,21:00.0,56,30,51.91
355,1/2/20,21:00.0,143,7,74.03
356,1/2/20,25:00.0,22,26,139.46
357,1/2/20,25:00.0,131,14,0
358,1/2/20,29:00.0,61,19,89.73
359,1/2/20,32:00.0,52,3,125.93
360,1/2/20,33:00.0,78,9,262.38
361,1/2/20,33:00.0,170,22,26.8
362,1/2/20,35:00.0,179,22,98.76
363,1/2/20,35:00.0,6,3,59.68
364,1/2/20,35:00.0,78,10,182.3
365,1/2/20,37:00.0,105,21,121.99
366,1/2/20,40:00.0,35,5,97.65
367,1/2/20,42:00.0,34,18,80.24
368,1/2/20,47:00.0,2,14,156.06
369,1/2/20,51:00.0,143,28,32.91
370,1/2/20,51:00.0,9,24,0
371,1/2/20,00:00.0,116,25,0
372,1/2/20,00:00.0,83,12,0
373,1/2/20,14:00.0,41,17,109.22
374,1/2/20,15:00.0,167,14,30.8
375,1/2/20,19:00.0,156,22,71.65
376,1/2/20,26:00.0,68,29,93.85
377,1/2/20,29:00.0,57,4,39.06
378,1/2/20,30:00.0,48,8,27.57
379,1/2/20,43:00.0,19,9,143.02
380,1/2/20,52:00.0,13,10,0
381,1/2/20,06:00.0,22,1,43.22
382,1/2/20,24:00.0,103,17,34.3
383,1/2/20,40:00.0,105,20,184.52
384,1/2/20,52:00.0,196,16,51.18
385,1/3/20,02:00.0,57,6,44.59
386,1/3/20,03:00.0,33,17,106.74
387,1/3/20,05:00.0,111,27,213.67
388,1/3/20,07:00.0,49,8,127.86
389,1/3/20,09:00.0,55,10,131.12
390,1/3/20,18:00.0,113,15,76.7
391,1/3/20,18:00.0,178,3,80.92
392,1/3/20,21:00.0,65,23,148.89
393,1/3/20,22:00.0,170,17,51.12
394,1/3/20,23:00.0,194,30,124.31
395,1/3/20,23:00.0,61,22,26.59
396,1/3/20,24:00.0,36,2,112.05
397,1/3/20,29:00.0,195,16,103.99
398,1/3/20,31:00.0,160,14,71.97
399,1/3/20,35:00.0,99,30,36.11
400,1/3/20,36:00.0,32,22,33.09
401,1/3/20,36:00.0,122,1,69.03
402,1/3/20,39:00.0,134,6,165.24
403,1/3/20,40:00.0,138,16,39
404,1/3/20,44:00.0,3,11,88.57
405,1/3/20,46:00.0,106,15,0
406,1/3/20,46:00.0,27,17,45.48
407,1/3/20,46:00.0,73,26,0
408,1/3/20,51:00.0,192,22,81.61
409,1/3/20,51:00.0,54,3,68.4
410,1/3/20,54:00.0,102,7,0
411,1/3/20,54:00.0,175,24,224.77
412,1/3/20,57:00.0,80,25,27.51
413,1/3/20,59:00.0,127,16,23.77
414,1/3/20,00:00.0,17,22,26.8
415,1/3/20,02:00.0,63,10,154.79
416,1/3/20,18:00.0,116,9,86.9
417,1/3/20,19:00.0,155,9,32.09
418,1/3/20,20:00.0,80,24,107.45
419,1/3/20,20:00.0,165,16,30.36
420,1/3/20,20:00.0,46,2,24.67
421,1/3/20,23:00.0,100,14,0
422,1/3/20,25:00.0,37,8,27.57
423,1/3/20,26:00.0,170,4,0
424,1/3/20,28:00.0,129,7,282.38
425,1/3/20,30:00.0,35,2,169.89
426,1/3/20,31:00.0,179,19,31.92
427,1/3/20,38:00.0,139,30,182.35
428,1/3/20,41:00.0,25,21,132.33
429,1/3/20,43:00.0,2,20,150.45
430,1/3/20,45:00.0,192,25,149.97
431,1/3/20,48:00.0,128,16,87.48
432,1/3/20,49:00.0,114,14,64.31
433,1/3/20,50:00.0,181,16,0
434,1/3/20,53:00.0,122,4,90.93
435,1/3/20,55:00.0,198,22,71.02
436,1/3/20,57:00.0,113,24,71.88
437,1/3/20,58:00.0,91,18,90.88
438,1/3/20,02:00.0,15,17,134.94
439,1/3/20,05:00.0,134,6,61.52
440,1/3/20,05:00.0,155,23,62.6
441,1/3/20,07:00.0,70,25,39.21
442,1/3/20,09:00.0,103,6,168.24
443,1/3/20,10:00.0,63,10,0
444,1/3/20,12:00.0,87,30,239.7
445,1/3/20,16:00.0,173,22,0
446,1/3/20,16:00.0,167,22,45.06
447,1/3/20,17:00.0,73,19,69.41
448,1/3/20,18:00.0,84,5,59.37
449,1/3/20,19:00.0,51,9,161.38
450,1/3/20,25:00.0,189,20,0
451,1/3/20,25:00.0,173,30,271.39
452,1/3/20,25:00.0,93,5,113.24
453,1/3/20,27:00.0,72,26,61.5
454,1/3/20,27:00.0,32,15,142.34
455,1/3/20,27:00.0,190,13,76.28
456,1/3/20,32:00.0,86,6,44.59
457,1/3/20,37:00.0,121,28,38.43
458,1/3/20,46:00.0,119,9,38.71
459,1/3/20,50:00.0,162,23,65.23
460,1/3/20,50:00.0,131,8,89.1
461,1/3/20,51:00.0,114,26,66.09
462,1/3/20,58:00.0,39,8,214.64
463,1/3/20,00:00.0,4,17,135.18
464,1/3/20,11:00.0,152,22,189.96
465,1/3/20,44:00.0,146,13,95.17
466,1/3/20,46:00.0,135,1,70.97
467,1/3/20,58:00.0,151,29,153.39
468,1/3/20,04:00.0,83,14,31.28
469,1/3/20,08:00.0,69,4,0
470,1/3/20,12:00.0,113,17,45.48
471,1/3/20,21:00.0,130,20,235.36
472,1/3/20,35:00.0,47,22,100.11
473,1/3/20,37:00.0,197,15,0
474,1/3/20,57:00.0,34,15,104.95
475,1/3/20,21:00.0,133,10,173.38
476,1/3/20,24:00.0,110,26,197.41
477,1/3/20,34:00.0,179,3,96.99
478,1/3/20,53:00.0,183,5,182.57
479,1/3/20,23:00.0,49,20,63.16
480,1/3/20,31:00.0,110,9,47.59
481,1/3/20,59:00.0,137,8,170.68
482,1/3/20,04:00.0,79,3,33.51
483,1/3/20,06:00.0,187,19,53.83
484,1/3/20,16:00.0,198,18,298.14
485,1/3/20,17:00.0,182,18,80.6
486,1/3/20,19:00.0,35,1,29.22
487,1/3/20,21:00.0,1,8,0
488,1/3/20,22:00.0,140,1,68.62
489,1/3/20,29:00.0,156,13,64.21
490,1/3/20,33:00.0,176,14,59.9
491,1/3/20,37:00.0,90,16,138.68
492,1/3/20,37:00.0,57,6,0
493,1/3/20,41:00.0,23,29,79.82
494,1/3/20,49:00.0,156,5,0
495,1/3/20,53:00.0,46,11,0
496,1/3/20,03:00.0,196,22,0
497,1/3/20,07:00.0,196,7,170.65
498,1/3/20,08:00.0,175,6,0
499,1/3/20,10:00.0,174,29,58.33
500,1/3/20,10:00.0,148,25,39.04
501,1/3/20,10:00.0,9,26,74.49
502,1/3/20,14:00.0,173,10,147.57
503,1/3/20,15:00.0,95,27,79.51
504,1/3/20,20:00.0,103,20,52.75
505,1/3/20,21:00.0,52,25,65.94
506,1/3/20,23:00.0,126,5,31.07
507,1/3/20,24:00.0,116,30,165.9
508,1/3/20,28:00.0,130,2,158.78
509,1/3/20,28:00.0,125,7,37.98
510,1/3/20,32:00.0,41,23,38.83
511,1/3/20,32:00.0,168,5,103.84
512,1/3/20,37:00.0,125,26,0
513,1/3/20,38:00.0,166,16,23.77
514,1/3/20,39:00.0,181,24,44.1
515,1/3/20,43:00.0,71,28,60.79
516,1/3/20,46:00.0,105,30,0
517,1/3/20,48:00.0,80,9,141.61
518,1/3/20,52:00.0,136,5,33.01
519,1/3/20,53:00.0,37,21,61.15
520,1/3/20,58:00.0,104,20,72.46
521,1/3/20,59:00.0,33,18,86.66
522,1/3/20,03:00.0,80,26,276.55
523,1/3/20,13:00.0,131,15,72.27
524,1/3/20,21:00.0,180,13,110.14
525,1/3/20,21:00.0,108,1,52.41
526,1/3/20,24:00.0,195,25,136.34
527,1/3/20,30:00.0,26,16,32.18
528,1/3/20,30:00.0,184,7,32.94
529,1/3/20,30:00.0,80,18,86.66
530,1/3/20,33:00.0,158,29,87.09
531,1/3/20,33:00.0,50,1,80.16
532,1/3/20,41:00.0,134,28,0
533,1/3/20,43:00.0,125,5,72.77
534,1/3/20,43:00.0,3,7,138.85
535,1/3/20,46:00.0,83,18,80.6
536,1/3/20,47:00.0,58,18,116.18
537,1/3/20,47:00.0,52,10,250.74
538,1/3/20,47:00.0,32,7,227.54
539,1/3/20,47:00.0,18,21,90.61
540,1/3/20,48:00.0,94,9,32.09
541,1/3/20,56:00.0,81,13,0
542,1/3/20,58:00.0,77,6,44.59
543,1/3/20,23:00.0,200,11,186.3
544,1/3/20,24:00.0,185,6,23.41
545,1/3/20,39:00.0,34,23,0
546,1/3/20,54:00.0,1,20,33.68
547,1/3/20,10:00.0,68,21,0
548,1/3/20,21:00.0,66,26,97.26
549,1/4/20,00:00.0,139,18,109.36
550,1/4/20,05:00.0,112,27,0
551,1/4/20,08:00.0,148,9,118.39
552,1/4/20,09:00.0,94,29,51.57
553,1/4/20,15:00.0,163,3,37.33
554,1/4/20,16:00.0,177,16,138.02
555,1/4/20,22:00.0,172,18,56.7
556,1/4/20,23:00.0,74,25,121.98
557,1/4/20,23:00.0,55,8,0
558,1/4/20,24:00.0,38,3,56.17
559,1/4/20,25:00.0,93,14,83.4
560,1/4/20,31:00.0,65,14,0
561,1/4/20,33:00.0,172,1,89.48
562,1/4/20,33:00.0,64,23,73.89
563,1/4/20,33:00.0,138,14,151.18
564,1/4/20,36:00.0,28,14,0
565,1/4/20,37:00.0,133,30,175.11
566,1/4/20,41:00.0,161,25,0
567,1/4/20,42:00.0,82,9,119.3
568,1/4/20,43:00.0,36,26,95.75
569,1/4/20,46:00.0,59,9,175.52
570,1/4/20,49:00.0,198,26,59.26
571,1/4/20,50:00.0,71,8,101.34
572,1/4/20,59:00.0,19,12,41.07
573,1/4/20,02:00.0,34,27,54.72
574,1/4/20,05:00.0,171,26,147.42
575,1/4/20,10:00.0,194,28,145.46
576,1/4/20,11:00.0,107,19,218.99
577,1/4/20,13:00.0,107,14,85.06
578,1/4/20,18:00.0,173,1,59.83
579,1/4/20,19:00.0,75,11,136.18
580,1/4/20,19:00.0,34,3,33.51
581,1/4/20,20:00.0,62,26,41
582,1/4/20,21:00.0,141,11,187.01
583,1/4/20,27:00.0,144,29,151.22
584,1/4/20,32:00.0,42,3,151.78
585,1/4/20,40:00.0,197,12,0
586,1/4/20,41:00.0,127,20,144.92
587,1/4/20,43:00.0,146,19,33.84
588,1/4/20,45:00.0,17,8,52.02
589,1/4/20,55:00.0,126,4,0
590,1/4/20,57:00.0,65,11,0
591,1/4/20,57:00.0,81,20,0
592,1/4/20,59:00.0,24,3,105.73
593,1/4/20,59:00.0,29,30,128.28
594,1/4/20,00:00.0,168,5,216.39
595,1/4/20,03:00.0,72,16,81.54
596,1/4/20,12:00.0,10,21,22.42
597,1/4/20,13:00.0,73,24,47.49
598,1/4/20,16:00.0,163,5,40.59
599,1/4/20,19:00.0,137,18,111.38
600,1/4/20,21:00.0,164,8,52.02
601,1/4/20,21:00.0,108,30,60.3
602,1/4/20,31:00.0,91,11,52.26
603,1/4/20,33:00.0,7,16,32.18
604,1/4/20,35:00.0,27,28,0
605,1/4/20,37:00.0,37,29,40.45
606,1/4/20,38:00.0,170,2,45.35
607,1/4/20,41:00.0,112,20,0
608,1/4/20,41:00.0,6,19,32.07
609,1/4/20,42:00.0,126,17,30.39
610,1/4/20,48:00.0,150,9,50.01
611,1/4/20,48:00.0,46,1,43.22
612,1/4/20,49:00.0,6,17,29.02
613,1/4/20,49:00.0,123,19,172.26
614,1/4/20,55:00.0,1,3,24.77
615,1/4/20,06:00.0,82,28,177.06
616,1/4/20,07:00.0,136,15,99.55
617,1/4/20,08:00.0,93,24,76.82
618,1/4/20,13:00.0,22,11,172.24
619,1/4/20,29:00.0,186,18,150.74
620,1/4/20,40:00.0,41,30,128.19
621,1/4/20,51:00.0,101,2,34.96
622,1/4/20,04:00.0,113,5,55.3
623,1/4/20,11:00.0,111,23,104.86
624,1/4/20,19:00.0,9,2,0
625,1/4/20,47:00.0,6,30,0
626,1/4/20,48:00.0,81,16,73.63
627,1/4/20,54:00.0,34,26,45.59
628,1/4/20,54:00.0,165,27,0
629,1/4/20,58:00.0,143,27,30.53
630,1/4/20,27:00.0,52,16,246.55
631,1/4/20,54:00.0,63,2,187.08
632,1/4/20,17:00.0,160,8,0
633,1/4/20,19:00.0,188,25,175.23
634,1/4/20,38:00.0,125,4,127.18
635,1/4/20,11:00.0,184,13,90.74
636,1/4/20,18:00.0,61,26,45.59
637,1/4/20,26:00.0,46,4,94.93
638,1/4/20,26:00.0,159,16,93.02
639,1/4/20,27:00.0,142,24,102.35
640,1/4/20,29:00.0,49,16,231.59
641,1/4/20,46:00.0,87,6,78.34
642,1/4/20,47:00.0,89,12,21.74
643,1/4/20,01:00.0,123,9,94.26
